2/2/2016; 7,13,25,51,70; Mega Ball: 9
1/29/2016; 20,28,49,51,52; Mega Ball: 6
1/26/2016; 14,27,39,50,69; Mega Ball: 2
1/22/2016; 21,25,40,46,56; Mega Ball: 3
1/19/2016; 2,17,31,39,47; Mega Ball: 9
1/15/2016; 29,41,53,54,70; Mega Ball: 12
1/12/2016; 15,27,29,31,48; Mega Ball: 15
1/8/2016; 11,39,51,57,75; Mega Ball: 2
1/5/2016; 1,4,36,48,57; Mega Ball: 13
1/1/2016; 7,18,37,38,39; Mega Ball: 9
12/29/2015; 20,25,55,62,74; Mega Ball: 7
12/25/2015; 15,25,29,44,51; Mega Ball: 4
12/22/2015; 11,21,40,50,70; Mega Ball: 15
12/18/2015; 6,23,24,28,62; Mega Ball: 7
12/15/2015; 18,25,47,51,61; Mega Ball: 5
12/11/2015; 14,20,43,54,69; Mega Ball: 5
12/8/2015; 7,17,37,49,73; Mega Ball: 15
12/4/2015; 26,42,47,61,73; Mega Ball: 6
12/1/2015; 5,7,25,50,59; Mega Ball: 12
11/27/2015; 16,20,39,56,59; Mega Ball: 12
11/24/2015; 2,19,30,38,70; Mega Ball: 8
11/20/2015; 9,12,29,37,67; Mega Ball: 15
11/17/2015; 12,14,18,24,61; Mega Ball: 10
11/13/2015; 17,18,31,35,59; Mega Ball: 9
11/10/2015; 8,17,20,45,71; Mega Ball: 4
11/6/2015; 10,31,35,50,72; Mega Ball: 8
11/3/2015; 16,29,44,69,74; Mega Ball: 12
10/30/2015; 17,41,51,53,56; Mega Ball: 15
10/27/2015; 9,26,27,29,74; Mega Ball: 4
10/23/2015; 25,32,37,45,70; Mega Ball: 1
10/20/2015; 6,25,35,38,52; Mega Ball: 4
10/16/2015; 2,38,48,61,68; Mega Ball: 4
10/13/2015; 7,9,24,38,52; Mega Ball: 1
10/9/2015; 8,9,21,63,75; Mega Ball: 14
10/6/2015; 17,58,63,64,66; Mega Ball: 13
10/2/2015; 4,14,29,31,47; Mega Ball: 9
9/29/2015; 8,21,30,61,62; Mega Ball: 9
9/25/2015; 3,8,38,51,64; Mega Ball: 4
9/22/2015; 28,30,38,45,51; Mega Ball: 8
9/18/2015; 17,34,35,51,65; Mega Ball: 7
9/15/2015; 7,20,35,49,56; Mega Ball: 9
9/11/2015; 5,11,31,50,67; Mega Ball: 14
9/8/2015; 19,20,36,41,46; Mega Ball: 7
9/4/2015; 17,21,39,52,57; Mega Ball: 5
9/1/2015; 2,5,35,40,54; Mega Ball: 13
8/28/2015; 13,35,40,60,68; Mega Ball: 9
8/25/2015; 5,44,54,59,63; Mega Ball: 1
8/21/2015; 13,15,21,41,72; Mega Ball: 1
8/18/2015; 2,7,33,39,53; Mega Ball: 9
8/14/2015; 12,15,20,52,71; Mega Ball: 3
8/11/2015; 3,8,29,57,68; Mega Ball: 8
8/7/2015; 1,38,53,63,66; Mega Ball: 10
8/4/2015; 2,19,44,51,57; Mega Ball: 14
7/31/2015; 28,32,33,40,46; Mega Ball: 10
7/28/2015; 8,35,61,68,75; Mega Ball: 15
7/24/2015; 10,12,26,60,62; Mega Ball: 13
7/21/2015; 20,30,62,65,74; Mega Ball: 1
7/17/2015; 6,17,30,31,41; Mega Ball: 15
7/14/2015; 19,24,30,35,72; Mega Ball: 5
7/10/2015; 24,27,45,51,54; Mega Ball: 8
7/7/2015; 6,15,16,28,49; Mega Ball: 14
7/3/2015; 33,50,64,71,72; Mega Ball: 9
6/30/2015; 11,17,34,43,50; Mega Ball: 15
6/26/2015; 12,23,33,47,50; Mega Ball: 3
6/23/2015; 6,13,38,56,70; Mega Ball: 2
6/19/2015; 4,35,36,52,68; Mega Ball: 8
6/16/2015; 8,19,26,56,67; Mega Ball: 14
6/12/2015; 1,40,42,56,62; Mega Ball: 2
6/9/2015; 6,16,17,25,36; Mega Ball: 7
6/5/2015; 7,22,27,41,49; Mega Ball: 10
6/2/2015; 2,9,11,22,23; Mega Ball: 12
5/29/2015; 20,27,38,49,66; Mega Ball: 2
5/26/2015; 1,39,52,69,72; Mega Ball: 12
5/22/2015; 3,14,15,25,48; Mega Ball: 8
5/19/2015; 10,12,21,29,65; Mega Ball: 10
5/15/2015; 11,17,21,36,74; Mega Ball: 15
5/12/2015; 14,30,33,36,44; Mega Ball: 2
5/8/2015; 9,21,25,66,72; Mega Ball: 7
5/5/2015; 11,21,42,62,71; Mega Ball: 7
5/1/2015; 17,18,61,66,74; Mega Ball: 3
4/28/2015; 22,27,55,58,63; Mega Ball: 11
4/24/2015; 24,25,29,47,67; Mega Ball: 4
4/21/2015; 31,33,35,41,69; Mega Ball: 11
4/17/2015; 15,18,29,41,50; Mega Ball: 5
4/14/2015; 3,7,25,68,71; Mega Ball: 3
4/10/2015; 6,11,32,46,68; Mega Ball: 9
4/7/2015; 5,15,22,26,64; Mega Ball: 6
4/3/2015; 10,36,47,63,74; Mega Ball: 2
3/31/2015; 8,26,41,61,73; Mega Ball: 11
3/27/2015; 17,21,36,58,70; Mega Ball: 3
3/24/2015; 2,23,32,45,55; Mega Ball: 12
3/20/2015; 7,50,54,61,75; Mega Ball: 7
3/17/2015; 11,27,44,45,58; Mega Ball: 3
3/13/2015; 8,22,30,42,45; Mega Ball: 3
3/10/2015; 10,14,19,30,73; Mega Ball: 14
3/6/2015; 30,48,55,68,73; Mega Ball: 5
3/3/2015; 9,11,42,44,50; Mega Ball: 3
2/27/2015; 7,49,53,60,64; Mega Ball: 4
2/24/2015; 15,23,26,45,66; Mega Ball: 4
2/20/2015; 2,6,8,52,66; Mega Ball: 13
2/17/2015; 6,45,50,65,66; Mega Ball: 1
2/13/2015; 4,20,44,65,74; Mega Ball: 14
2/10/2015; 7,42,53,58,71; Mega Ball: 15
2/6/2015; 5,6,17,33,68; Mega Ball: 13
2/3/2015; 11,22,25,58,69; Mega Ball: 13
1/30/2015; 18,31,39,45,55; Mega Ball: 6
1/27/2015; 5,26,27,44,57; Mega Ball: 7
1/23/2015; 14,15,32,68,72; Mega Ball: 8
1/20/2015; 31,35,56,59,63; Mega Ball: 6
1/16/2015; 26,32,44,45,58; Mega Ball: 11
